Ind.ID origin.pop pred.pop pop_A pop_B pop_C
1_1 pop_A pop_A 0.944072390921633 0.0290378847517698 0.0268897243265976
1_2 pop_A pop_A 0.940745291560456 0.0202593028621887 0.0389954055773552
1_3 pop_A pop_A 0.509427088706777 0.31334306106091 0.177229850232313
1_4 pop_A pop_C 0.281348989293512 0.337890215204269 0.380760795502219
1_6 pop_A pop_B 0.163573648106096 0.470338258563541 0.366088093330363
1_7 pop_A pop_A 0.814170532035258 0.107739196275229 0.0780902716895134
1_11 pop_A pop_B 0.0935861145841968 0.465219932161923 0.44119395325388
1_12 pop_A pop_A 0.830184830101086 0.0896416677943579 0.0801735021045562
1_17 pop_A pop_A 0.679554527135129 0.108685842184515 0.211759630680356
1_18 pop_A pop_A 0.979699077089608 0.0042506714420889 0.0160502514683033
1_20 pop_A pop_A 0.837288158949236 0.0899267324597706 0.0727851085909929
1_21 pop_A pop_A 0.957286492360935 0.00803672920170765 0.0346767784373581
1_26 pop_A pop_A 0.93330412250289 0.0190564239586204 0.0476394535384895
1_28 pop_A pop_C 0.250411866377365 0.360132581574376 0.389455552048259
1_30 pop_A pop_A 0.759193142782149 0.112107966389218 0.128698890828633
2_1 pop_B pop_C 0.00815627214498868 0.493112562738709 0.498731165116302
2_3 pop_B pop_C 0.00400160952651021 0.445050271671539 0.550948118801951
2_8 pop_B pop_B 0.0313689278036193 0.537519503909926 0.431111568286455
2_9 pop_B pop_B 0.109969956058615 0.510677361203898 0.379352682737488
2_12 pop_B pop_C 0.0980218210161379 0.441530497680428 0.460447681303434
2_13 pop_B pop_C 0.0143875574275262 0.40479960160957 0.580812840962904
2_14 pop_B pop_C 0.00180931580980112 0.491719215224295 0.506471468965903
2_18 pop_B pop_B 0.00909144286861899 0.529881740471516 0.461026816659865
2_21 pop_B pop_C 0.0517822740776843 0.388978634387594 0.559239091534721
2_22 pop_B pop_B 0.106351770933883 0.469536374485249 0.424111854580868
2_23 pop_B pop_C 0.00399542853567567 0.482668329042522 0.513336242421802
2_24 pop_B pop_B 0.00855969255966092 0.572065602649931 0.419374704790408
2_25 pop_B pop_B 0.0117877306132956 0.525989223425802 0.462223045960903
2_28 pop_B pop_B 0.0436672859454041 0.484286923717382 0.472045790337214
2_30 pop_B pop_B 0.0138207848394406 0.546034886379577 0.440144328780982
3_2 pop_C pop_C 0.0148801686313644 0.460514546656962 0.524605284711673
3_5 pop_C pop_C 0.126894242738114 0.388367004437627 0.484738752824259
3_6 pop_C pop_C 0.00256861657633213 0.339684528769783 0.657746854653885
3_7 pop_C pop_C 0.00498300029682648 0.457211256335085 0.537805743368088
3_9 pop_C pop_B 0.0507619602097519 0.492550431068563 0.456687608721684
3_10 pop_C pop_C 0.00479634689910551 0.459825724293814 0.53537792880708
3_11 pop_C pop_C 0.118448455658601 0.437005027728184 0.444546516613215
3_13 pop_C pop_B 0.0592869808635984 0.477511788908573 0.463201230227829
3_15 pop_C pop_C 0.0722226738468855 0.330066472466354 0.597710853686761
3_19 pop_C pop_C 0.00935742593770316 0.455650348410212 0.534992225652085
3_21 pop_C pop_B 0.0930504142474957 0.455746140491064 0.45120344526144
3_23 pop_C pop_C 0.0316608257485619 0.431613069875193 0.536726104376245
3_24 pop_C pop_C 0.0598894727957602 0.37815979441557 0.56195073278867
3_26 pop_C pop_C 0.0364394262869073 0.364825419954679 0.598735153758414
3_27 pop_C pop_C 0.0208434973294658 0.474685460625819 0.504471042044716
