Ind.ID origin.pop pred.pop pop_A pop_B pop_C
1_1 pop_A pop_A 0.977265046824875 0.0168302089205937 0.00590474425453109
1_2 pop_A pop_A 0.942701158430598 0.0282187855659773 0.0290800560034244
1_3 pop_A pop_A 0.763539408038651 0.178898188976541 0.0575624029848085
1_4 pop_A pop_A 0.570849165343852 0.17611097424661 0.253039860409537
1_8 pop_A pop_A 0.949213645837985 0.0317849227953136 0.0190014313667017
1_11 pop_A pop_C 0.188298453014564 0.394154383820893 0.417547163164544
1_12 pop_A pop_A 0.930948329519093 0.0483327743033274 0.02071889617758
1_15 pop_A pop_A 0.960032444139861 0.0165761222040675 0.0233914336560715
1_17 pop_A pop_A 0.810113250706834 0.0683637711757975 0.121522978117368
1_19 pop_A pop_A 0.758271846944543 0.14778514860004 0.0939430044554171
1_20 pop_A pop_A 0.932663657288804 0.0498602827112411 0.0174760599999549
1_23 pop_A pop_A 0.9770032981184 0.00521147391560832 0.0177852279659914
1_25 pop_A pop_A 0.994665601475128 0.00363471408458475 0.00169968444028728
1_26 pop_A pop_A 0.969155481146349 0.0121968652108116 0.0186476536428391
1_30 pop_A pop_A 0.932808841859485 0.0391364938310851 0.0280546643094299
2_1 pop_B pop_B 0.014712561777016 0.5212478609026 0.464039577320384
2_2 pop_B pop_B 0.0280804493600558 0.504755667810327 0.467163882829617
2_5 pop_B pop_B 0.0735357990952794 0.549636509655901 0.37682769124882
2_7 pop_B pop_B 0.00306812349549231 0.555796739165637 0.441135137338871
2_9 pop_B pop_A 0.476345342174975 0.292385851536144 0.23126880628888
2_10 pop_B pop_A 0.648245806827797 0.255153876331913 0.0966003168402901
2_11 pop_B pop_B 0.323896616364015 0.481933584306145 0.194169799329841
2_20 pop_B pop_B 0.262000976555866 0.383326796519051 0.354672226925083
2_21 pop_B pop_C 0.02643359513957 0.454721019588524 0.518845385271906
2_23 pop_B pop_B 0.0134898784239261 0.52339721543298 0.463112906143094
2_24 pop_B pop_B 0.0692349731079078 0.536124236580979 0.394640790311112
2_25 pop_B pop_B 0.0580058761303917 0.503820397685849 0.438173726183759
2_26 pop_B pop_B 0.0939527859052188 0.568540908650183 0.337506305444598
2_27 pop_B pop_C 0.173501652400841 0.313938019244537 0.512560328354622
2_28 pop_B pop_B 0.0849475522161864 0.491046892241947 0.424005555541867
3_1 pop_C pop_B 0.150129705170582 0.50483840576184 0.345031889067578
3_2 pop_C pop_B 0.0144216024689346 0.497309613899935 0.48826878363113
3_4 pop_C pop_A 0.538764157133567 0.19373506740326 0.267500775463173
3_7 pop_C pop_B 0.00460869932246797 0.512407455886069 0.482983844791463
3_10 pop_C pop_B 0.00582084452874585 0.520605307192594 0.47357384827866
3_11 pop_C pop_B 0.14047288076933 0.453899270997173 0.405627848233497
3_15 pop_C pop_C 0.036729945693225 0.419036155997764 0.544233898309011
3_16 pop_C pop_B 0.00159295121434759 0.523085430193166 0.475321618592486
3_19 pop_C pop_B 0.00898480499901116 0.503868876930404 0.487146318070584
3_23 pop_C pop_C 0.0303212400185058 0.472954869528118 0.496723890453376
3_25 pop_C pop_C 0.00863459681146427 0.43375175360108 0.557613649587456
3_26 pop_C pop_C 0.027728745982986 0.443828826692633 0.528442427324381
3_28 pop_C pop_B 0.0789109106286153 0.524921854035072 0.396167235336313
3_29 pop_C pop_B 0.00214581855221205 0.51128092259061 0.486573258857178
3_30 pop_C pop_B 0.328717161519105 0.421342672447643 0.249940166033252
