Ind.ID origin.pop pred.pop pop_A pop_B pop_C
1_8 pop_A pop_A 0.999999344972883 2.99947106539607e-07 3.5508001042348e-07
1_10 pop_A pop_A 0.999460451217844 0.000455990546394686 8.35582357612809e-05
1_12 pop_A pop_A 0.99908618697218 0.000743981746245687 0.000169831281574454
1_17 pop_A pop_A 0.978747950810356 0.0150767238127257 0.0061753253769181
1_21 pop_A pop_A 0.999765959223902 6.75328958254083e-05 0.000166507880272223
1_27 pop_A pop_A 0.997755995884959 0.00207299295504127 0.000171011159999795
2_3 pop_B pop_C 1.06805381521513e-06 0.358797977140934 0.641200954805251
2_5 pop_B pop_B 0.000802071359732613 0.655803084868422 0.343394843771845
2_11 pop_B pop_B 0.171038398014682 0.553517245657282 0.275444356328036
2_14 pop_B pop_B 1.03843525539601e-08 0.576246418966022 0.423753570649625
2_15 pop_B pop_B 1.76296287298901e-07 0.896287606763423 0.10371221694029
2_26 pop_B pop_B 1.79202534656188e-06 0.945547566515179 0.0544506414594747
3_13 pop_C pop_B 1.97109289728179e-06 0.806206967159369 0.193791061747734
3_14 pop_C pop_C 0.185437547469792 0.0674741352719852 0.747088317258223
3_18 pop_C pop_C 0.0020539216201397 0.194827498421981 0.803118579957879
3_21 pop_C pop_B 0.000542229512799198 0.629275032659854 0.370182737827347
3_23 pop_C pop_C 0.000572579134991237 0.313242684962875 0.686184735902134
3_30 pop_C pop_B 4.25461678170062e-06 0.733961376734261 0.266034368648957
